term,count
Finding,2
Basal,2
Replacement of aortic valve (procedure),2
Vascular stent,2
Left atrial structure,2
Plain x-ray,2
Has tingling sensation,2
Decrease in height,2
Bronchi,2
Pneumonia caused by methicillin susceptible Staphylococcus aureus,2
Hepatic calcification,1
Hypothermia (central) (local),1
diminution,1
Nerve,1
Views and PA,1
Basal pneumonia,1
Pericardial fat,1
Soft tissue lesion,1
View AP supine,1
Fatty deposition,1
Rod Photoreceptors,1
Fixation Wire,1
"Embolization, Therapeutic",1
levothyroxine,1
Coronary sinus structure,1
mycobacterial,1
Upper Respiratory Infections,1
View apical lordotic,1
Chin,1
Transplantation,1
Open,1
Contrast enhanced chest CT,1
Bone structure of thoracic vertebra,1
Flexed (finding),1
Mechanical Aortic Valve,1
Bone injury,1
Viral bronchitis,1
Febrile Neutropenia,1
Thoracolumbar vertebral column,1
Thickened,1
Apyrexial,1
Communicable Diseases,1
Aortic valve calcification,1
Hematocrit Measurement,1
Immunocompromised Host,1
"Hematoma, Subdural",1
Cholangitis,1
Chemoradiotherapy,1
Cystogastrostomy procedure,1
Levoscoliosis,1
Normal position,1
Breast tissue sample,1
ST segment elevation myocardial infarction,1
Bronchial Thermoplasty,1
Fat pad,1
Curly,1
Fungal,1
Structure of left upper quadrant of abdomen,1
Pleural scarring,1
Protein Component,1
Calcification of pleura,1
carmustine/cytarabine/etoposide/melphalan regimen,1
Enlargement (morphologic abnormality),1
Epigastrium,1
"Diagnostic, Therapeutic, and Research Equipment",1
Diffuse Large B-Cell Lymphoma,1
Intact,1
Digital slit-beam radiograph,1
Pulmonary hemorrhage,1
Azygos lobe of lung,1
Pulmonary venous hypertension,1
Percutaneous endoscopic tube,1
Chest imaging,1
Mitral valve prosthesis,1
Parenchymal consolidation,1
Thumb structure,1
"lung; disease, interstitial, with fibrosis",1
Pharyngeal structure,1
Bone structure of ninth rib,1
"Stylet, device",1
Repositioning (procedure),1
Extrapleural,1
Hypoxemic Respiratory Failure,1
Illness (finding),1
Superior vena cava structure,1
Loss (adaptation),1
Dissecting hemorrhage,1
Physical findings,1
Dressing of skin or wound,1
Abdomen not distended,1
Dental Retraction (procedure),1
Abdominal Fluid,1
Pleural cavity,1
Brown sputum,1
Pleural effusion associated with pulmonary infection,1
Height,1
Loculated,1
Tortuous aorta,1
Evaluable Disease,1
Clearing,1
interstitial,1
Lymphangitis carcinomatosa,1
Infectious Canine Hepatitis,1
Diabetic Ketoacidosis,1
