study_id,accuracy,accuracy_normalized,is_shuffled,num_extracted_concepts,with_keywords_comet_score,without_keywords_comet_score,comet-score_delta,with_keywords_gemba_score,without_keywords_gemba_score,gemba
s59128018,4,4,TRUE,74,0.48110044,0.556030869,-0.074930429,12,12,0
s54614499,0,0,TRUE,33,0.679571629,0.628118753,0.051452875,55,35,20
s57634634,1,1,TRUE,71,0.631405473,0.61789012,0.013515353,5,5,0
s51376574,-1,1,FALSE,76,0.620239854,0.602562308,0.017677546,12,25,-13
s53917214,0,0,FALSE,36,0.555324554,0.58493185,-0.029607296,0,15,-15
s53373983,0,0,FALSE,41,0.675245404,0.676035821,-0.000790417,5,5,0
s56825548,1,1,TRUE,33,0.735617042,0.743653059,-0.008036017,5,12,-7
s51599067,1,1,TRUE,54,0.714592218,0.682764649,0.031827569,85,5,80
s51513309,0,0,FALSE,44,0.648490071,0.637205124,0.011284947,5,2,3
s54405868,0,0,FALSE,43,0.689166188,0.655455709,0.03371048,2,30,-28
s53309985,-2,2,FALSE,49,0.735482514,0.763438702,-0.027956188,5,30,-25
s54651514,1,1,TRUE,39,0.588616848,0.664482236,-0.075865388,15,5,10
s59480439,0,0,FALSE,14,0.611688137,0.633577466,-0.021889329,5,0,5
s59860843,-1,-1,TRUE,33,0.680626929,0.716240108,-0.035613179,10,5,5
s59724022,-1,1,FALSE,39,0.717002213,0.65595758,0.061044633,2,5,-3
s54073611,1,-1,FALSE,49,0.584423304,0.626929879,-0.042506576,,0,
s50619062,0,0,TRUE,45,0.692729115,0.662163913,0.030565202,12,20,-8
s54154227,2,2,TRUE,49,0.558512509,0.668962955,-0.110450447,10,78,-68
s52870261,-2,-2,TRUE,76,0.679674029,0.669034481,0.010639548,12,2,10
s52332731,-2,2,FALSE,66,0.640803099,0.642077029,-0.00127393,12,5,7
s51044207,-1,1,FALSE,37,0.720783591,0.611077666,0.109705925,15,10,5
s57424165,0,0,TRUE,145,0.311335593,0.293948948,0.017386645,5,30,-25
s58930681,-2,-2,TRUE,132,0.265290469,0.242867023,0.022423446,10,10,0
s51743515,1,1,TRUE,60,0.738196552,0.727990866,0.010205686,15,15,0
s50463244,-3,-3,TRUE,79,0.325097978,0.243951648,0.08114633,5,12,-7
s54787767,0,0,TRUE,46,0.64403677,0.699457288,-0.055420518,55,15,40
s54579619,-1,-1,TRUE,39,0.644073904,0.659240723,-0.015166819,12,0,12
s55976614,0,0,TRUE,41,0.664066195,0.71581614,-0.051749945,20,92,-72
s56163913,-1,1,FALSE,43,0.631154001,0.628060222,0.003093779,94,15,79
s54523750,2,2,TRUE,30,0.599704623,0.580566287,0.019138336,12,5,7
s58021359,-2,-2,TRUE,47,0.642783105,0.578948855,0.06383425,2,15,-13
s52183245,0,0,TRUE,18,0.64100492,0.603897929,0.037106991,5,10,-5
s56646381,0,0,FALSE,87,0.669051886,0.599655569,0.069396317,85,2,83
s58895583,-2,2,FALSE,48,0.707522154,0.688490391,0.019031763,55,5,50
s59728102,0,0,TRUE,81,0.633414626,0.621590972,0.011823654,2,0,2
s52979607,0,0,FALSE,46,0.614601254,0.666457355,-0.051856101,15,10,5
s55262522,2,2,TRUE,41,0.720244288,0.725621819,-0.005377531,0,5,-5
